"faq_id","question_variant"
"FAQ_001","Как создать аккаунт в сервисе?"
"FAQ_001","Как пройти регистрацию в сервисе?"
"FAQ_001","Где можно зарегистрироваться в сервисе?"
"FAQ_001","Подскажите, как зарегистрироваться в сервисе?"
"FAQ_001","Не могу зарегистрироваться в сервисе ,что делать?"
"FAQ_001","Как зарегистрироваться в сервисе?"
"FAQ_002","Как авторизоваться в личный кабинет?"
"FAQ_002","Как зайти в личный кабинет?"
"FAQ_002","Где можно войти в личный кабинет?"
"FAQ_002","Подскажите, как войти в личный кабинет?"
"FAQ_002","Не могу войти в личный кабинет, что делать?"
"FAQ_002","Как войти в личный кабинет?"
"FAQ_003","Забыл пароль, что делать?"
"FAQ_003","Что делать, если я забыл пароль?"
"FAQ_003","Как восстановить доступ, если я забыл пароль?"
"FAQ_003","Не получается: я забыл пароль. Что делать?"
"FAQ_003","Нужна помощь: я забыл пароль"
"FAQ_003","Забыл пароль, как восстановить?"
"FAQ_004","Как поменять пароль?"
"FAQ_004","Как изменить пароль?"
"FAQ_004","Где можно сменить пароль?"
"FAQ_004","Подскажите, как сменить пароль?"
"FAQ_004","Не могу сменить пароль, что делать?"
"FAQ_004","Как сменить пароль в сервисе?"
"FAQ_005","Как поменять email в профиле?"
"FAQ_005","Как обновить email в профиле?"
"FAQ_005","Где можно изменить email в профиле?"
"FAQ_005","Подскажите, как изменить email в профиле?"
"FAQ_005","Не могу изменить email в профиле, что делать?"
"FAQ_005","Как изменить email в профиле в сервисе?"
"FAQ_006","Из-за чего не приходит письмо с подтверждением?"
"FAQ_006","По какой причине не приходит письмо с подтверждением?"
"FAQ_006","Не приходит письмо с подтверждением, почему?"
"FAQ_006","Почему не приходит письмо с подтверждением в сервисе?"
"FAQ_006","Письмо с подтверждением не работает, почему?"
"FAQ_006","Почему не приходит письмо с подтверждением?"
"FAQ_007","Какие предусмотренные тарифы доступны?"
"FAQ_007","Какие тарифы доступны?"
"FAQ_007","Можно ли получить доступные?"
"FAQ_007","Есть ли возможность получить доступные тарифы?"
"FAQ_007","У вас есть тарифы, которые доступны?"
